"","97.bam","105.bam","113.bam","91.bam","99.bam","107.bam"
"Cluster_430",15,41,9,40,61,54
"Cluster_431",20,43,10,31,57,36
"Cluster_432",425,1746,96,1528,1527,1588
"Cluster_433",11,106,18,184,422,194
"Cluster_434",2,5,6,75,72,69
"Cluster_435",4,3,1,33,38,35
"Cluster_436",3,11,1,7,10,6
"Cluster_437",27,71,3,85,165,84
"Cluster_438",6,17,2,8,30,13
"Cluster_439",1,10,0,18,7,11
"Cluster_440",5,3,1,11,3,12
"Cluster_441",212,1123,125,1129,1410,1373
"Cluster_442",20,101,7,104,210,110
"Cluster_443",0,12,1,7,26,5
"Cluster_444",6,21,4,11,7,18
"Cluster_445",34,88,4,70,116,74
"Cluster_446",26,52,7,47,95,66
"Cluster_447",82,235,41,175,269,241
"Cluster_448",1,11,5,1,21,8
"Cluster_449",9,38,6,24,44,24
"Cluster_450",1,10,0,9,20,8
"Cluster_451",2481,13051,220,18863,8767,11970
"Cluster_452",21,160,18,100,410,120
"Cluster_453",6,25,3,20,39,16
"Cluster_454",44,175,27,156,280,196
"Cluster_455",2,5,2,14,10,16
"Cluster_456",1,1,1,10,6,10
"Cluster_457",23,346,109,134,158,275
"Cluster_458",18,59,8,50,176,48
"Cluster_459",49,119,15,94,128,128
"Cluster_460",2,7,0,7,13,3
"Cluster_461",5,40,3,24,90,35
"Cluster_462",15,74,8,51,152,57
"Cluster_463",4,11,5,9,24,11
"Cluster_464",5,8,2,14,19,15
"Cluster_465",1,15,1,15,14,14
"Cluster_466",26,93,8,92,149,99
"Cluster_467",41,98,8,101,67,135
"Cluster_468",2,26,1,9,24,6
"Cluster_469",5,76,7,37,269,51
"Cluster_470",11,37,7,22,67,30
"Cluster_471",5,13,0,8,31,17
"Cluster_472",0,9,2,4,10,11
"Cluster_473",1,13,1,14,7,8
"Cluster_474",2,18,2,13,19,16
"Cluster_475",2,6,0,7,7,22
"Cluster_476",53,96,24,109,76,120
"Cluster_477",0,6,2,7,13,6
"Cluster_478",46,171,26,131,283,154
"Cluster_479",127,183,86,202,173,227
"Cluster_480",106,621,44,382,786,403
"Cluster_481",6,14,1,16,39,26
"Cluster_482",6,4,0,9,21,8
"Cluster_483",17,67,13,57,46,53
"Cluster_484",74,22,0,45,9,23
"Cluster_485",1,7,4,7,6,10
"Cluster_486",7,7,4,9,9,6
"Cluster_487",2,10,1,8,16,18
"Cluster_488",5,7,1,10,14,13
"Cluster_489",46,196,24,148,332,207
"Cluster_490",25,95,8,68,157,83
"Cluster_491",141,299,85,242,245,350
"Cluster_492",1,5,0,3,6,13
"Cluster_493",13,57,4,39,52,39
"Cluster_494",67,148,21,168,152,163
"Cluster_495",173,698,94,485,1069,581
"Cluster_496",19,51,10,31,59,43
"Cluster_497",5,16,4,12,9,12
"Cluster_498",2,5,1,10,6,10
"Cluster_499",2,14,2,5,15,19
"Cluster_500",83,235,24,203,533,206
"Cluster_501",13,32,8,38,35,61
"Cluster_502",16,56,10,50,46,45
"Cluster_503",19,33,5,22,30,37
"Cluster_504",3,8,0,10,5,16
"Cluster_505",4,17,1,31,62,34
"Cluster_506",11,50,7,68,111,65
"Cluster_507",9,32,6,28,52,48
"Cluster_508",2,9,0,10,18,9
"Cluster_509",663,1845,188,1816,2236,2068
"Cluster_510",10,46,5,53,84,38
"Cluster_511",36,77,17,64,144,93
"Cluster_512",22,64,15,35,58,61
"Cluster_513",49,0,0,17,14,21
"Cluster_514",49,150,16,146,219,127
"Cluster_515",44,244,22,197,422,184
"Cluster_516",2,12,1,11,15,12
"Cluster_517",42,214,29,180,288,190
"Cluster_518",3,14,0,12,16,10
"Cluster_519",2,5,4,10,11,11
"Cluster_520",14,54,4,31,94,47
"Cluster_521",22,216,21,122,414,171
"Cluster_522",14,37,6,39,78,44
"Cluster_523",14,39,1,16,57,38
"Cluster_524",4,9,0,8,15,5
"Cluster_525",6,17,2,5,20,9
"Cluster_526",21351,64057,2010,55602,52119,70156
"Cluster_527",3,11,1,10,16,21
"Cluster_528",1,2,0,10,7,7
"Cluster_529",20,27,31,33,15,48
"Cluster_530",0,12,2,15,24,12
"Cluster_531",5,7,1,4,11,9
"Cluster_532",19,80,13,59,118,91
"Cluster_533",7,27,0,17,10,18
"Cluster_534",20,88,5,71,138,83
"Cluster_535",31,116,28,87,155,89
"Cluster_536",4,12,3,33,43,30
"Cluster_537",2,26,3,22,24,28
"Cluster_538",19,37,5,24,30,45
"Cluster_539",18,91,7,67,168,93
"Cluster_540",19,108,14,86,158,72
"Cluster_541",3,10,0,3,12,14
"Cluster_542",53,209,23,168,329,169
"Cluster_543",13,74,11,55,119,61
"Cluster_544",10,20,6,12,23,13
"Cluster_545",5,27,1,20,23,17
"Cluster_546",33,88,17,79,77,117
"Cluster_547",1,3,2,9,7,13
"Cluster_548",71,263,45,240,319,268
"Cluster_549",70,202,42,170,400,240
"Cluster_550",7,11,2,15,10,17
"Cluster_551",52,171,44,189,254,175
"Cluster_552",23,63,5,51,125,62
"Cluster_553",6,15,2,13,30,15
"Cluster_554",9,20,2,10,36,17
"Cluster_555",14,43,5,41,81,30
"Cluster_556",1,7,1,7,27,9
"Cluster_557",11,37,5,37,89,32
"Cluster_558",3646,10268,1114,7451,1826,11076
"Cluster_559",0,2,16,1,4,29
"Cluster_560",125,574,82,499,1715,592
"Cluster_561",2,7,0,6,9,10
"Cluster_562",2,13,1,6,9,9
"Cluster_563",7,43,5,27,22,19
"Cluster_564",17,64,6,72,97,53
"Cluster_565",0,24,1,16,29,6
"Cluster_566",6,26,2,29,18,26
"Cluster_567",120,257,33,134,24,129
"Cluster_568",3,13,0,11,40,17
"Cluster_569",0,8,0,13,29,12
"Cluster_570",3,37,2,19,53,19
"Cluster_571",9,40,7,22,63,39
"Cluster_572",8,14,0,7,19,13
"Cluster_573",3,10,0,7,14,11
"Cluster_574",6,23,5,24,49,32
"Cluster_575",50,220,5,159,322,184
"Cluster_576",0,2,0,10,16,3
"Cluster_577",12,56,4,41,153,84
"Cluster_578",3,9,1,9,25,11
"Cluster_579",0,12,5,9,19,9
"Cluster_580",3,9,3,8,30,17
"Cluster_581",6,11,3,12,25,19
"Cluster_582",1,4,0,5,16,9
"Cluster_583",6,16,3,14,54,10
"Cluster_584",7,27,1,15,44,21
"Cluster_585",4871,8435,597,7125,1429,8680
"Cluster_586",15,65,13,122,258,131
"Cluster_587",12,65,6,70,146,82
"Cluster_588",0,6,0,10,17,5
"Cluster_589",9,59,12,74,341,105
"Cluster_590",3,30,2,22,46,22
"Cluster_591",49,405,57,240,470,343
"Cluster_592",7,23,0,20,44,26
"Cluster_593",7,13,0,15,14,5
"Cluster_594",8,41,1,26,45,22
"Cluster_595",5,25,4,21,41,23
"Cluster_596",0,24,0,29,27,20
"Cluster_597",287,1335,107,897,2339,1029
"Cluster_598",32,131,17,98,191,140
"Cluster_599",5,19,0,10,22,8
"Cluster_600",87,248,99,270,571,483
"Cluster_601",2,2,0,2,15,7
"Cluster_602",0,3,1,9,16,3
"Cluster_603",1,15,2,3,22,17
"Cluster_604",0,13,0,8,12,11
"Cluster_605",4,24,1,11,25,10
"Cluster_606",16,95,7,82,166,96
"Cluster_607",79,395,54,375,1227,462
"Cluster_608",109,335,47,362,563,388
"Cluster_609",36,134,16,148,223,192
"Cluster_610",2,13,0,7,2,16
"Cluster_611",381,3274,113,1234,251,1061
"Cluster_612",34,159,4,45,148,80
"Cluster_613",32,141,8,67,126,63
"Cluster_614",64,141,28,106,71,102
"Cluster_615",18,47,3,43,82,42
"Cluster_616",53,146,11,134,323,141
"Cluster_617",16,62,3,52,69,56
"Cluster_618",10,36,7,51,19,50
"Cluster_619",7,17,6,14,8,35
"Cluster_620",10,1545,14,304,142,318
"Cluster_621",7,22,15,34,6,39
"Cluster_622",4,38,4,30,46,27
"Cluster_623",2,12,0,5,18,12
"Cluster_624",18,92,12,74,161,77
"Cluster_625",2,17,0,9,10,33
"Cluster_626",21,21,1,29,55,50
"Cluster_627",36,154,21,202,288,209
"Cluster_628",114,728,65,412,676,485
"Cluster_629",6,36,2,8,3,23
"Cluster_630",6,31,3,19,8,19
"Cluster_631",4,18,0,7,8,7
"Cluster_632",5,15,0,4,8,7
"Cluster_633",7,9,4,9,25,11
"Cluster_634",27,197,21,175,293,180
"Cluster_635",7,35,6,26,37,40
"Cluster_636",10,26,8,46,13,42
"Cluster_637",7,7,3,17,6,23
"Cluster_638",0,9,0,4,20,9
"Cluster_639",29,82,20,90,145,118
"Cluster_640",11,44,3,23,32,30
"Cluster_641",75,331,27,212,419,232
"Cluster_642",5,26,0,16,31,24
"Cluster_643",8,15,5,23,27,15
"Cluster_644",8,30,2,26,60,24
"Cluster_645",6,13,1,8,22,16
"Cluster_646",29,73,19,94,81,80
"Cluster_647",39,121,21,100,188,129
"Cluster_648",7,23,3,14,7,19
"Cluster_649",3,14,1,6,5,11
"Cluster_650",20,117,18,87,178,87
"Cluster_651",12,47,3,42,61,48
"Cluster_652",7,16,4,15,41,24
"Cluster_653",4,8,0,9,16,8
"Cluster_654",55,311,21,404,385,482
"Cluster_655",6,13,4,14,24,21
"Cluster_656",27,164,16,106,232,127
"Cluster_657",2,15,0,25,27,14
"Cluster_658",9,36,5,41,66,49
"Cluster_659",0,7,0,4,6,10
"Cluster_660",0,4,1,7,11,2
"Cluster_661",128,236,101,526,280,673
"Cluster_662",8,3,2,9,16,4
"Cluster_663",31,14,0,31,42,38
"Cluster_664",18,52,13,74,99,75
"Cluster_665",2,13,3,14,8,12
"Cluster_666",192,509,98,520,593,584
"Cluster_667",1,11,0,7,17,5
"Cluster_668",22,74,56,48,85,93
"Cluster_669",5,19,1,12,17,14
"Cluster_670",5,16,1,18,35,14
"Cluster_671",27,60,24,48,34,56
"Cluster_672",1011,7719,367,4954,7178,6342
"Cluster_673",4,7,0,6,22,6
"Cluster_674",12,31,4,27,67,40
"Cluster_675",3,11,0,8,15,12
"Cluster_676",11,28,3,18,53,12
"Cluster_677",673,389,1280,83,113,345
"Cluster_678",63,269,27,227,574,312
"Cluster_679",1480,3256,1045,1696,242,2866
"Cluster_680",9,18,2,19,23,22
"Cluster_681",16,69,14,58,124,68
"Cluster_682",10,24,3,40,47,40
"Cluster_683",19,31,5,39,42,43
"Cluster_684",3,19,0,10,21,18
